moviename,imdb,beyazperde,rottenttomatoes,value
Measure of a Man,6.3,3.1,52,0
Dude,5.1,3,35,0
Meg: Derinlerdeki Dehşet,5.6,3.5,49,1
Johnny English Tekrar İş Başında,6.2,2.5,37,0
Borç Harç,1.4,2.1,10,1
Benji,6.3,3.1,60,1
Karanlık Zihinler,5.7,3,65,0
Eski Evdeki Büyülü Saat,6,2.8,42,1
Tavşan Peter,6.6,3,70,0
İnanılmaz Aile 2,7.6,4,81,0
Sosyal Hayvanlar,5.3,2.6,56,1
Bağ: Ölümcül Silah,5.8,3,54,0
Happy Anniversary,5.7,2.8,83,1
Fantastik Canavarlar: Grindelwald'in Suçları,6,3.5,36,0
Yakalandın!,6.5,2.4,48,0
Half Magic,4.7,2.3,62,1
Koma,6.3,3.1,74,0
Step Sisters,5.4,2.5,22,1
When We First Met,6.4,3.1,43,0
Kayıp Aranıyor,7.6,4,100,0
Alex Strangelove,6.3,3.1,81,0
Set It Up,6.5,3,92,0
Bohemian Rhapsody,7.9,2.5,60,0
Zeroville,4.5,2.3,23,1
Ibiza,5.2,2.9,67,1
Delidolu,5.9,3.3,64,0
Robin Hood,5.3,3,15,0
Candy Jar,5.8,2.6,71,0
Başlat,7.4,4,87,0
Yenilmezler: Sonsuzluk Savaşı,8.4,4,100,0
Yok Oluş,6.8,3.4,18,0
Küçük Ayak,6.6,3.3,76,0
Rampage: Büyük Yıkım,6.1,3,51,0
Alita: Savaş Meleği,7.3,3,61,0
Ölümcül Makineler,6.1,3.5,68,0
Game Over. Man!,5.4,3.1,18,0
Fırıncının Karısı,2.9,1.8,20,1
Venom: Zehirli Öfke,6.6,3,57,0
Kitap Kulübü,6.1,3,15,0
Mary Poppins: Sihirli Dadı,6.7,3,80,1
Beni Satan Casus,6,3.4,34,0
Under the Silver Lake,6.5,3.2,59,0
Deadpool 2,7.6,3.5,84,0
Labirent: Son İsyan,6.2,3,98,0
Jurassic World: Yıkılmış Krallık,6.1,3.5,47,0
Sar Başa,2.5,3.2,44,1
Edepsiz Kuklalar,5.4,2,63,0
Mogli: Orman Çocuğu,6.5,3.4,80,0
Rounding Third,5.2,2.4,73,0
Transformers: Bumblebee,6.7,2.5,75,0
Dog Days,6.2,3.2,51,0
Dumbo,6.3,3.5,62,0
Enes Batur Gerçek Kahraman,1.4,2.8,14,1
Öldür Beni Sevgilim,4.4,2.7,34,1
Karakomik Filmler: 2 Arada,6.4,3.5,68,0
Cinayet Susu,6.7,3,87,0
Recep İvedik 6,2.9,2.4,35,1
Araf 2,2.8,1.8,41,1
Bir Ask Iki Hayat,6.1,4,26,0
Hep Yek 3: Titrettin Beni,3.8,3.5,38,1
Aykut Enişte,7,3,81,0
Like Father,6.1,3,34,0
Kral Şakir Korsanlar Diyarı,4.9,3.8,46,1
Organize İşler: Sazan Sarmalı,6,3.1,89,0
Cep Herkülü: Naim Süleymanoğlu,8.2,3.5,87,0
7. Koğuştaki Mucize,8.2,3.5,95,0
Hababam Sinifi Yeniden,2.2,1.8,31,1
Mucizeler Parkı,5.8,3,64,0
Rafadan Tayfa Göbeklitepe,5.8,3.4,68,0
Çiçero,6.5,3.5,76,0
Can Dostlar,5.6,3,74,0
Tau,5.8,3.2,69,0
How It Ends,5,2.3,65,0
Uzun Kabus,3.2,2,42,1
Sessiz Kalma,7.5,3,81,0
Mucize 2: Aşk,7.2,3.5,69,0
Tomb Raider,6.3,3.5,76,0
Mamma Mia! Yeniden Başlıyoruz,6.6,3.5,69,0
Grinç,6.4,3.5,86,0
Ayı Paddington 2,7.8,4,46,0
Ocean's 8,6.3,4.4,76,0
X-Men: Yeni Mutantlar,5.3,2.9,71,0
Fındıkkıran ve Dört Diyar,5.6,3,64,0
Sessiz Bir Yer,7.5,4,81,0
Doğruluk mu Cesaret mi?,5.2,1.5,37,0
Ziyaretçiler: Gece Avı,5.2,3,61,0
Oyun Gecesi,6.9,2,83,0
Kırk Yalan,2.2,3,22,1
Black Panther,7.3,4,82,0
Her Gün,6.4,3,74,0
Oyunbozan Ralph II: Ralph ve İnternet,7,3,96,0
Joker,8.4,4,69,0
z,5.5,3.1,97,0
Aladdin,6.9,3,57,0
Parazit,8.5,4.5,99,0
John Wick: Chapter 3 - Parabellum,7.4,4,89,0
Oyuncak Hikayesi 4,7.7,4,98,0
Karlar Ülkesi 2,6.8,4,95,0
vendetta,3.6,2,63,1
the batman,7.8,4,87,1
avatar:suyun yolu,7.7,4.7,92,0
malazgirt 1071,3.7,2.6,36,0
otel transilivanya:transformanya,6,3.6,44,0
masal zamanı,7.9,3.3,75,1
devotion,6.6,3.1,92,0
mahlukat,4.7,2.8,49,0
solo respira,4,2.8,38,1
nightalk,4.1,2.3,38,1
the fish tale,3.6,2.1,33,0
falcon lake,7.2,3.9,70,0
between mountains,7.1,3.2,70,0
uncharted,6.3,3.9,90,1
hellraiser,6.3,2.3,58,0
blonde,5.5,3.1,34,1
blackbird,3,3.2,30,1
dig,4.2,2.2,40,1
luck,6.4,3.7,68,1
The Prey,5.3,3.2,48,0
Monster High,6.7,4.2,80,0
Adanış Kutsal Kavga,5,4.1,63,0
Kirpi Sonic2,6.5,4,96,0
Cadılar Bayramı Sona Eriyor,5,2.8,47,0
Spinning Gold,6.3,3.2,82,0
Hayata Röveşata Çeken Adam,7.5,3.6,72,1
John wick:4,8,3.2,93,0
Firestarter,4.6,2.8,47,0
Shazam! Tanrıların Öfkesi,6,2.8,82,0
Enola Holmes 2,6.7,3.3,79,1
Bıçaklar Çekildi: Gizemli Bir Serüven,7.3,3,68,0
Seriously Red,5.3,2.5,45,0
Çizmeli Kedi: Son Dilek,7.9,3.3,77,1
Brahmastra,5.6,4,69,0
Incantation,6.2,3,62,0
Follow Her,6.4,3.7,90,1
Fabelmanlar,7.6,3.5,74,0
Goliath,6.8,2.8,65,0
As Good As Dead,5.5,2.6,40,0
Sex Appeal,5.3,2.7,58,0
Battle for Saipan,4.7,3.2,89,1
Stalked Within,5.1,2.3,49,1
En Yakın Arkadaşımın Şeytan Çıkarma Ayini,5.3,2.4,46,0
Alemão2,6.2,3.4,58,0
The Forger,6.2,3.9,80,0
My Fake Boyfriend,5.1,2.6,51,1
